sectionId,order,type,text_content,text_variant,step_number,step_description,step_image,step_notes,point_criteria,point_method,point_critical,point_tolerance,point_tool,safety_message,safety_severity,safety_code,safety_action,code_code,code_title,code_section,code_description,checklist_title,table_caption,table_headers,equipment_title,image_url,image_caption
cc-execution,5,execution_step,,,4,تنعيم السطح بالقادوم (Trowel) للأسقف والأرضيات,,ينتظر حتى تبدأ الخرسانة بالتماسك قبل التنعيم,,,,,,,,,,,,,,,,,,,
cc-inspection,1,inspection_point,,,,,,,[DRAFT - REVIEW REQUIRED] هبوط الخرسانة,اختبار الهبوط ASTM C143,TRUE,[DRAFT - REVIEW REQUIRED] حسب المواصفات,,,,,,,,,,,,,,,
cc-inspection,2,inspection_point,,,,,,,[DRAFT - REVIEW REQUIRED] درجة حرارة الخرسانة,مقياس حرارة,TRUE,[DRAFT - REVIEW REQUIRED] 10-32 °C,,,,,,,,,,,,,,,
cc-inspection,3,inspection_point,,,,,,,[DRAFT - REVIEW REQUIRED] أخذ مكعبات اختبار الضغط,مكعبات قياسية 150×150×150 مم,TRUE,[DRAFT - REVIEW REQUIRED] 6 مكعبات لكل 100 م³,,,,,,,,,,,,,,,
cc-safety,1,safety_note,,,,,,,,,,,,تأكد من سلامة الشدات والدعامات قبل وأثناء الصب - خطر انهيار الفرم,critical,,,,,,,,,,,,
cc-safety,2,safety_note,,,,,,,,,,,,فحص الكابلات الكهربائية للهزازات والتأكد من عدم ملامستها للماء,high,,,,,,,,,,,,
cc-safety,3,safety_note,,,,,,,,,,,,جميع العاملين يجب أن يرتدوا الخوذ وأحذية السلامة,high,,,,,,,,,,,,
cc-codes,1,code_reference,,,,,,,,,,,,,,,,ACI 304R-00,"Guide for Measuring, Mixing, Transporting, and Placing Concrete",4.0-5.0,[DRAFT - REVIEW REQUIRED] إرشادات صب ودمك الخرسانة,,,,,,
cc-codes,2,code_reference,,,,,,,,,,,,,,,,ACI 305R-20,Hot Weather Concreting,2.3,[DRAFT - REVIEW REQUIRED] إرشادات الصب في الأجواء الحارة,,,,,,
cc-codes,3,code_reference,,,,,,,,,,,,,,,,ACI 308R-16,Curing Concrete,4.1,[DRAFT - REVIEW REQUIRED] المعالجة تبدأ فور انتهاء الصب لمدة 7 أيام على الأقل,,,,,,
rb-documents,1,text,قبل البدء بفحص الحديد في الموقع، يجب مراجعة المستندات التالية والتأكد من مطابقتها للمواصفات.,paragraph,,,,,,,,,,,,,,,,,,,,,,,
rb-documents,2,checklist,,,,,,,,,,,,,,,,,,,,قائمة فحص المستندات,,,,,
rb-execution,1,text,يتم فحص حديد التسليح على مراحل حسب الخطوات التالية.,note,,,,,,,,,,,,,,,,,,,,,,,
rb-execution,2,execution_step,,,1,فحص شهادات المنشأ والتأكد من مطابقة الأقطار والدرجات,,مطابقة الشهادات مع متطلبات المواصفات ASTM A615 / ACI 318,,,,,,,,,,,,,,,,,,,
rb-execution,3,execution_step,,,2,قياس أقطار أسياخ الحديد بالقدمة ومقارنتها مع الشهادات,,[DRAFT - REVIEW REQUIRED] التسامح المسموح به ± 0.5 مم,,,,,,,,,,,,,,,,,,,
rb-execution,4,execution_step,,,3,التحقق من عدد الأسياخ في المقطع والمسافات بينها حسب المخططات,,العد المباشر وقياس المسافات بشريط القياس,,,,,,,,,,,,,,,,,,,
rb-execution,5,execution_step,,,4,فحص التغطية الخرسانية والكفرات البلاستيكية وأطوال الوصلات,,[DRAFT - REVIEW REQUIRED] التغطية لا تقل عن القيم التصميمية حسب ACI 318-19,,,,,,,,,,,,,,,,,,,
rb-inspection,1,inspection_point,,,,,,,[DRAFT - REVIEW REQUIRED] قطر حديد التسليح,القدمة (Vernier Caliper),TRUE,[DRAFT - REVIEW REQUIRED] ± 0.5 مم عن القطر الاسمي,,,,,,,,,,,,,,,
rb-inspection,2,inspection_point,,,,,,,[DRAFT - REVIEW REQUIRED] المسافة بين الأسياخ الطولية,شريط قياس,TRUE,[DRAFT - REVIEW REQUIRED] ± 10 مم عن المخططات,,,,,,,,,,,,,,,
rb-inspection,3,inspection_point,,,,,,,[DRAFT - REVIEW REQUIRED] التغطية الخرسانية (Cover),قياس الكفرات البلاستيكية,TRUE,[DRAFT - REVIEW REQUIRED] لا تقل عن القيمة التصميمية,,,,,,,,,,,,,,,
rb-inspection,4,inspection_point,,,,,,,[DRAFT - REVIEW REQUIRED] زاوية ثني الكانات,منقلة (Protractor),FALSE,[DRAFT - REVIEW REQUIRED] 135° للكانات المغلقة الزلزالية,,,,,,,,,,,,,,,
rb-tables,1,table,,,,,,,,,,,,,,,,,,,,,[DRAFT - REVIEW REQUIRED] أقطار وأوزان حديد التسليح الشائعة,"القطر (مم),الوزن (كجم/م),مساحة المقطع (مم²)",,,
rb-tables,2,table,,,,,,,,,,,,,,,,,,,,,[DRAFT - REVIEW REQUIRED] أقل تغطية خرسانية حسب ACI 318-19 (الجدول 20.6.1),"نوع العنصر,التغطية (مم),شرط إضافي",,,
rb-codes,1,code_reference,,,,,,,,,,,,,,,,ACI 318-19,Minimum Bend Diameters,25.2.1,[DRAFT - REVIEW REQUIRED] أقل قطر للثني: 6 أقطار للسيخ لأسياخ رقم 3-8,,,,,,
rb-codes,2,code_reference,,,,,,,,,,,,,,,,ACI 318-19,Concrete Cover Requirements,20.6.1,[DRAFT - REVIEW REQUIRED] متطلبات التغطية الدنيا للخرسانة,,,,,,
rb-codes,3,code_reference,,,,,,,,,,,,,,,,ACI 318-19,Lap Splice Lengths,25.5.2,[DRAFT - REVIEW REQUIRED] طول الوصلة لا يقل عن 60 قطر للسيخ في وصلات الشد Class B,,,,,,
